SystemCodeNumber,Timestamp,Occupancy,Capacity,OccupancyRate
BHMBCCMKT01,2016-10-04 07:59:00,61,577,0.10571923743500866
BHMNCPHST01,2016-10-04 07:59:00,237,1200,0.1975
BHMMBMMBX01,2016-10-04 07:59:00,264,687,0.38427947598253276
BHMNCPNST01,2016-10-04 07:59:00,249,485,0.51340206185567
Shopping,2016-10-04 07:59:00,614,1920,0.31979166666666664
BHMEURBRD01,2016-10-04 07:59:00,117,470,0.24893617021276596
Broad Street,2016-10-04 07:59:00,178,690,0.2579710144927536
Others-CCCPS8,2016-10-04 07:59:00,445,1322,0.33661119515885024
Others-CCCPS105a,2016-10-04 07:59:00,709,2009,0.35291189646590343
Others-CCCPS119a,2016-10-04 07:59:00,195,2803,0.06956831965750981
BHMBCCTHL01,2016-10-04 07:59:00,120,387,0.31007751937984496
Others-CCCPS135a,2016-10-04 07:59:00,1081,3883,0.27839299510687615
Others-CCCPS202,2016-10-04 07:59:00,547,2937,0.18624446714334356
Others-CCCPS98,2016-10-04 07:59:00,588,3103,0.1894940380277151
Others-CCCPS8,2016-10-04 08:25:00,478,1322,0.3615733736762481
BHMNCPNST01,2016-10-04 08:25:00,267,485,0.5505154639175258
Others-CCCPS105a,2016-10-04 08:25:00,780,2009,0.38825286212045795
Others-CCCPS202,2016-10-04 08:25:00,665,2937,0.22642151855635
Others-CCCPS135a,2016-10-04 08:25:00,1467,3883,0.3778006695853721
BHMBCCTHL01,2016-10-04 08:25:00,129,387,0.3333333333333333
BHMMBMMBX01,2016-10-04 08:25:00,302,687,0.4395924308588064
BHMEURBRD01,2016-10-04 08:25:00,174,470,0.3702127659574468
Others-CCCPS98,2016-10-04 08:25:00,678,3103,0.21849822752175313
Broad Street,2016-10-04 08:25:00,269,690,0.3898550724637681
Others-CCCPS119a,2016-10-04 08:25:00,238,2803,0.0849090260435248
Shopping,2016-10-04 08:25:00,761,1920,0.3963541666666667
BHMNCPHST01,2016-10-04 08:25:00,315,1200,0.2625
